Sunrise	Sunset	Daytime_Minutes	Nighttime_Minutes	PARmax_Day	PARmin_Day	PARmean_Day	PARstd_Day	intPAR_Day	DOXYmax_Day	DOXYmin_Day	DOXYmean_Day	DOXYstd_Day	intDOXY_Day	ratioPAR_DOXY_Day	slopesPAR_DOXY_Day	rsqPAR_DOXY_Day	pHmax_Day	pHmin_Day	pHmean_Day	pHstd_Day	intpH_Day	ratioPAR_pH_Day	slopesPAR_pH_Day	rsqPAR_pH_Day	ORPmax_Day	ORPmin_Day	ORPmean_Day	ORPstd_Day	intORP_Day	ratioPAR_ORP_Day	slopesPAR_ORP_Day	rsqPAR_ORP_Day	TCmax_Day	TCmin_Day	TCmean_Day	TCstd_Day	intTC_Day	ratioPAR_TC_Day	slopesPAR_TC_Day	rsqPAR_TC_Day	CONDmax_Day	CONDmin_Day	CONDmean_Day	CONDstd_Day	intCOND_Day	ratioPAR_COND_Day	slopesPAR_COND_Day	rsqPAR_COND_Day	PSALmax_Day	PSALmin_Day	PSALmean_Day	PSALstd_Day	intPSAL_Day	ratioPAR_PSAL_Day	slopesPAR_PSAL_Day	rsqPAR_PSAL_Day	DOXYmax_Night	DOXYmin_Night	DOXYmean_Night	DOXYstd_Night	intDOXY_Night	ratioDOXY_DOXY_Night	slopesDOXY_DOXY_Night	rsqDOXY_DOXY_Night	pHmax_Night	pHmin_Night	pHmean_Night	pHstd_Night	intpH_Night	ratioDOXY_pH_Night	slopesDOXY_pH_Night	rsqDOXY_pH_Night	ORPmax_Night	ORPmin_Night	ORPmean_Night	ORPstd_Night	intORP_Night	ratioDOXY_ORP_Night	slopesDOXY_ORP_Night	rsqDOXY_ORP_Night	TCmax_Night	TCmin_Night	TCmean_Night	TCstd_Night	intTC_Night	ratioDOXY_TC_Night	slopesDOXY_TC_Night	rsqDOXY_TC_Night	CONDmax_Night	CONDmin_Night	CONDmean_Night	CONDstd_Night	intCOND_Night	ratioDOXY_COND_Night	slopesDOXY_COND_Night	rsqDOXY_COND_Night	PSALmax_Night	PSALmin_Night	PSALmean_Night	PSALstd_Night	intPSAL_Night	ratioDOXY_PSAL_Night	slopesDOXY_PSAL_Night	rsqDOXY_PSAL_Night
11/4/10 10:00	11/4/10 18:35	515	705	972.5099998	1.3372	460.6445857	255.5830557	14318603.03	188.2958472	167.4935722	182.6542014	5.282875075	667231.154	0.0465989	0.007209132	0.121643625	7.965321637	7.895321637	7.946090868	0.021256287	2197.5	0.000153472	-6.61E-06	0.006325313	237.816886	205.816886	226.0476552	11.9661584	624750	0.04363205	-0.025854116	0.304939729	25.56130482	25.41130482	25.48096829	0.040303848	2151.000001	0.000150224	-8.29E-05	0.276046116	53006	52598	52918.78846	50.21075406	9921299.992	0.692895806	0.077583842	0.155959987	34.62971827	34.2472119	34.52036236	0.059439969	8448.122805	0.00059001	0.000119782	0.265272488	179.2045819	163.5573487	172.3977339	4.066358025	684506.6626	1	1	1	7.955321637	7.905321637	7.929617412	0.014360994	1450.499999	0.002119044	0.003244051	0.843757249	241.816886	234.816886	236.5070268	0.860340508	70649.99996	0.10321302	0.049676683	0.055128434	25.57130482	25.44130482	25.50736116	0.032680654	3637.500013	0.005314046	0.001858984	0.053503356	52989.99999	52828	52884.56338	27.73569832	70836298.14	103.4851843	1.411381535	0.042817557	34.56696254	34.41370656	34.4752291	0.03655692	52216.6606	0.076283641	-0.0003705	0.001698435
11/4/10 10:00	11/4/10 18:35	515	705	NaN	NaN	NaN	NaN	NaN	186.1162684	168.0010819	181.2328476	4.821071611	619911.4432	0.043294129	0.005037296	0.071313514	7.94880848	7.87880848	7.931500787	0.018550941	1636.5	0.000114292	-2.96E-06	0.001664182	252.0427632	227.0427632	233.9562247	5.068675123	211049.9991	0.014739566	-0.016357714	0.680331269	25.55935307	25.40935307	25.48146845	0.038884271	2227.5	0.000155567	-7.84E-05	0.265276305	53006	52598	52919.15385	50.2843887	9932699.992	0.693691973	0.07842653	0.158899951	34.62358707	34.2562029	34.52024771	0.057994059	8166.279785	0.000570327	0.000116993	0.265837169	179.0958262	164.8626721	172.9065203	3.935535909	623356.0598	1	1	1	7.93880848	7.89880848	7.923526789	0.010632058	1467	0.00235339	0.002545913	0.888096495	251.0427632	242.0427632	247.3737491	2.665039834	269100	0.431695491	-0.615632109	0.826500033	25.56935307	25.43935307	25.50688828	0.033393986	3700.5	0.005936415	0.001603946	0.035731467	52989.99999	52828	52884.56338	27.73569832	70836298.14	113.6369769	1.586140086	0.05065387	34.56844607	34.41055442	34.47558821	0.037154929	52171.28311	0.083694194	-4.89E-05	2.68E-05
11/4/10 10:00	11/4/10 18:35	515	705	NaN	NaN	NaN	NaN	NaN	187.6254307	166.5827743	181.9660786	5.352869163	621838.6663	0.043428725	0.00871684	0.173224391	7.977426901	7.917426901	7.956561516	0.011833027	2451	0.000171176	2.57E-05	0.306976161	252.4122806	230.4122807	235.4411269	3.750616078	1449900	0.101259878	-0.006200231	0.178514982	25.56089912	25.41089912	25.48012989	0.038558802	2139.000002	0.000149386	-8.22E-05	0.297059672	53006	52598	52919.15385	50.2843887	9932699.992	0.693691973	0.07842653	0.158899951	34.62240948	34.25503963	34.52126361	0.058175931	8233.137451	0.000574996	0.00011993	0.277610541	180.9873447	161.413508	172.4004047	4.388410203	620067.0692	1	1	1	7.967426901	7.897426901	7.934398732	0.017093379	2410.5	0.003887483	0.003631292	0.869122534	246.4122807	234.4122807	239.4897455	1.671937523	214050	0.345204593	-0.127656286	0.112268716	25.57089912	25.43089912	25.50973715	0.033520743	3754.499998	0.00605499	0.001202819	0.024796352	52989.99999	52828	52884.59859	27.67671957	70837798.14	114.2421549	1.598236985	0.064219594	34.57245694	34.4096194	34.47345578	0.0368307	52129.64311	0.084070975	0.000263619	0.000986618
11/4/10 10:00	11/4/10 18:35	515	705	NaN	NaN	NaN	NaN	NaN	182.6282528	167.3610708	178.0152637	3.823912466	550663.3768	0.038457898	0.006729686	0.202319565	7.933731725	7.903731725	7.918635571	0.006825878	1081.5	7.55E-05	1.10E-05	0.170986301	246.122807	228.122807	232.2670378	4.236728602	125249.9999	0.008747362	-0.007197545	0.188526173	25.55857456	25.41857456	25.4832861	0.036335992	2308.500002	0.000161224	-8.17E-05	0.330157833	53006	52598	52919.15385	50.2843887	9932699.992	0.693691973	0.07842653	0.158899951	34.60895135	34.24926546	34.51886546	0.056779157	8337.343622	0.000582274	0.000119496	0.289327855	180.2817432	161.5498732	172.84311	3.707358718	656969.3183	1	1	1	7.933731725	7.883731725	7.915914824	0.010253261	1360.499999	0.002070873	0.002578997	0.869574666	242.122807	234.122807	236.7847788	0.921664572	112200	0.170784231	-0.085861113	0.119282425	25.57857456	25.43857456	25.50991259	0.034005191	3859.499999	0.005874704	0.001853515	0.040834846	52989.99999	52828	52884.56338	27.73569832	70836298.14	107.8228407	1.450349076	0.037583402	34.56903784	34.40821389	34.47329794	0.037482622	52360.35566	0.079699849	-0.000336792	0.001109664
11/4/10 10:00	11/4/10 18:35	515	705	NaN	NaN	NaN	NaN	NaN	184.1828874	164.7426429	179.1706972	5.000244929	610382.2655	0.042628618	0.004013526	0.042085625	7.949312865	7.909312865	7.934120558	0.010142745	1699.5	0.000118692	9.67E-06	0.059409806	236.6798246	225.6798246	231.8625169	3.513536711	189750	0.013251991	-0.009200328	0.447900733	25.56208333	25.41208333	25.47987179	0.039362807	2092.500001	0.000146139	-8.67E-05	0.317196024	53006	52598	52919.15385	50.2843887	9932699.992	0.693691973	0.07842653	0.158899951	34.62150755	34.25414865	34.5214607	0.058697545	8268.222539	0.000577446	0.000123356	0.288498451	179.1295414	162.4499237	172.3363145	4.266509621	648628.4404	1	1	1	7.939312865	7.889312865	7.917974837	0.012673134	1207.499999	0.00186162	0.002837565	0.912575845	253.6798245	233.6798246	235.3981344	1.73559398	70199.99994	0.108228372	-0.072514279	0.031775782	25.57208333	25.44208333	25.51109742	0.033481441	4183.499999	0.006449763	0.001840989	0.055035052	52989.99999	52828	52884.56338	27.73569832	70836298.14	109.209362	1.376827759	0.044856613	34.56637083	34.40872467	34.47239988	0.037061572	52122.61177	0.080358197	-0.000382016	0.001934018
11/4/10 10:00	11/4/10 18:35	515	705	NaN	NaN	NaN	NaN	NaN	187.3546912	165.6527005	181.9343296	4.650368522	672509.057	0.046967505	0.008298805	0.208027401	7.954170322	7.894170322	7.931285706	0.012670053	1464	0.000102245	1.14E-05	0.053097532	246.5076754	215.5076754	225.4692139	6.289030481	305700	0.021349848	-0.018794448	0.583385789	25.55287281	25.40287281	25.47604588	0.040344738	2260.500001	0.000157872	-7.76E-05	0.241395862	53006	52598	52919.15385	50.2843887	9932699.992	0.693691973	0.07842653	0.158899951	34.61676692	34.25355469	34.52436499	0.058934007	8375.094825	0.00058491	0.000116401	0.254825253	178.1069009	162.2132899	171.2627483	4.419181688	692787.1406	1	1	1	7.944170322	7.894170322	7.917902716	0.012805648	1422	0.002052579	0.002566995	0.784748667	246.5076754	236.5076755	243.2541543	2.459419925	286049.9986	0.412897385	-0.42582272	0.585431383	25.56287281	25.43287281	25.50237985	0.03415292	3783	0.005460552	0.001239392	0.025718475	52989.99999	52828	52884.56338	27.73569832	70836298.14	102.2482867	1.298922485	0.042832357	34.57337247	34.41398627	34.47900441	0.037531818	52425.09752	0.075672735	1.62E-05	3.65E-06
11/5/10 6:20	11/5/10 18:35	735	700	1042.699996	1.209600073	496.6002551	315.7957104	22048628.34	191.4131162	163.4372872	180.4111584	8.298284828	852240.6006	0.038652772	0.0164204	0.390483988	7.995321637	7.885321637	7.928700016	0.028774376	2359.500001	0.000107013	2.19E-05	0.057935025	245.8168859	236.816886	241.2425616	2.330195798	1562700	0.070875157	0.003151469	0.182412076	25.64130482	25.45130482	25.57002104	0.036982813	7023	0.000318523	8.44E-05	0.519345481	52935.99999	52764.00001	52859.2973	27.89763978	11519700.01	0.522467876	0.008651182	0.009590218	34.49674998	34.33858676	34.40932284	0.035647207	7128.656895	0.000323315	-5.74E-05	0.258937851	174.6678395	161.1367293	168.9159645	3.577738015	533012.8648	1	1	1	7.925321637	7.905321637	7.917378375	0.00681571	925.4999993	0.001736356	0.001366998	0.514908866	251.816886	240.816886	242.9019923	1.411632093	338400	0.634881487	0.147815192	0.14034992	25.63130482	25.44130482	25.52485092	0.056075647	4347.000014	0.008155526	0.008600888	0.301130727	52898	51410.00001	52673.31915	295.5474155	61409398.17	115.2118499	6.545642553	0.006278665	34.50996182	33.43069053	34.30724915	0.201840285	44752.35242	0.083961111	-0.001701143	0.00090925
11/5/10 6:20	11/5/10 18:35	735	700	NaN	NaN	NaN	NaN	NaN	189.1882587	164.1505021	179.5612539	7.387138061	810075.2691	0.036740393	0.014556345	0.387226155	7.95880848	7.89880848	7.93434902	0.017662127	2458.500001	0.000111504	3.12E-05	0.311641137	252.0427632	242.0427632	246.5562767	2.428533573	860099.9985	0.039009229	-0.003151834	0.167977471	25.63935307	25.44935307	25.57171794	0.03650294	7184.999999	0.000325871	8.32E-05	0.518227195	52935.99999	52764.00001	52859.2973	27.89763978	11519700.01	0.522467876	0.008651182	0.009590218	34.49823062	34.33252131	34.40804055	0.035273608	6674.77621	0.00030273	-5.65E-05	0.256230136	174.8508223	162.2669909	169.6918264	3.35243385	483316.9324	1	1	1	7.92880848	7.89880848	7.915758834	0.009924232	1129.499999	0.002336976	0.002809328	0.90059897	248.0427632	241.0427632	243.9860256	1.743449165	123450	0.25542246	0.331066132	0.405257786	25.62935307	25.44935307	25.5246013	0.055762014	4418.999999	0.009143069	0.008839779	0.282440064	52898	51410.00001	52673.31915	295.5474155	61409398.17	127.0582387	4.067960436	0.002129215	34.5097261	33.43212402	34.30743713	0.20184927	44700.05577	0.092486012	-0.003695577	0.003767302
11/5/10 6:20	11/5/10 18:35	735	700	NaN	NaN	NaN	NaN	NaN	191.9343771	163.168573	179.8689121	8.892487358	794293.9383	0.036024642	0.018248371	0.419966004	7.987426901	7.897426901	7.941480955	0.019857925	2835.000001	0.000128579	4.68E-05	0.554997881	270.4122807	188.4122807	249.4190374	9.010573264	2692499.999	0.12211644	0.014433025	0.255871763	25.63089912	25.46089912	25.56542615	0.032833003	6837	0.000310087	6.56E-05	0.398051858	52935.99999	52764.00001	52859.2973	27.89763978	11519700.01	0.522467876	0.008651182	0.009590218	34.4894731	34.33889255	34.41279042	0.033742605	6937.324736	0.000314637	-4.32E-05	0.163739325	173.7335513	161.5390274	168.7989728	2.974886807	463753.3113	1	1	1	7.927426901	7.897426901	7.91274605	0.007704655	1483.5	0.003198899	0.002257837	0.760010771	246.4122807	244.4122807	245.6073162	0.711570318	470100	1.013685484	0.183411412	0.587973767	25.63089912	25.45089912	25.52621827	0.055078557	4422	0.009535242	0.00901961	0.237329266	52898	51410.00001	52673.6383	295.7290071	61422898.17	132.4473522	2.612348056	0.000690582	34.50855299	33.43098849	34.30645232	0.20201316	44706.12328	0.096400656	-0.004898642	0.005203948
11/5/10 6:20	11/5/10 18:35	735	700	NaN	NaN	NaN	NaN	NaN	190.2232384	164.1468214	179.7302175	7.117794364	862183.0203	0.039103703	0.014157713	0.394555236	7.953731725	7.883731726	7.926637131	0.016629348	1899.000001	8.61E-05	2.45E-05	0.216554683	247.122807	237.122807	242.5146989	3.294264516	635250	0.028811316	0.004422257	0.179714674	25.63857456	25.44857456	25.56560159	0.033975971	6947.999999	0.000315122	7.00E-05	0.423156148	52935.99999	52764.00001	52859.2973	27.89763978	11519700.01	0.522467876	0.008651182	0.009590218	34.49882124	34.32557386	34.41265867	0.034126966	7185.584945	0.000325897	-4.66E-05	0.185603418	176.7928158	162.2632938	170.8411243	3.798417683	567035.6612	1	1	1	7.933731725	7.903731725	7.921887754	0.007801359	1600.500001	0.002822574	0.001815858	0.781679688	250.122807	242.122807	242.9100411	0.763530432	368100	0.64916552	0.002378056	0.000139958	25.63857456	25.43857456	25.52538307	0.058399109	4483.500001	0.00790691	0.007809374	0.258003404	52898	51410.00001	52673.31915	295.5474155	61409398.17	108.2990055	6.346879923	0.00665383	34.51031684	33.43269583	34.30684566	0.201193996	44958.51939	0.079286935	-0.0012477	0.000554875
