TC,DOXY,pH,PSAL,Pres,U0,PAR,NEP
NaN,3.14947123936093e-08,0,0,0,0.0069385475658017,0.295566088468027,0.980526667094976
0,NaN,0.000198934588028554,1.5105472428445e-11,0,0.541206970733999,0.773611999828666,0.51853039555498
0,0.00218598991489649,NaN,2.65172439561923e-10,0,0.406480407093023,0.793961318112669,0.728987754776534
3.66209258473305e-08,0,1.99840144432528e-15,NaN,0,0.0908764340969964,0.26595779821073,0.401580265364963
3.21827220428617e-09,8.54871728961371e-15,3.13030662502101e-08,0,NaN,0.0215866125629638,0.0364664380946979,2.65105669658983e-05
0.00141597026819085,0.0212498538321508,0.0139308608423916,0.0317270584278447,0.0991691053290641,NaN,0.915209893169229,0.876731794004678
0,2.85506373320921e-07,4.36213568599797e-08,1.27119849832047e-05,0.134156221162783,0.448809898938985,NaN,2.54208321059934e-10
0.876645600917402,0.0134331553402214,0.138924645087639,0.0111004900237158,0.00230003006536383,0.626758057867909,0.0100728329099425,NaN
