Row	Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
Average Daily Max DO [umol kg^-1]	207.025457268372	207.374493321801	208.196726926704	210.768723976114	210.273803634696	208.446749847857
Stddev (Average Daily Max DO)	1.03946461110366	0.945727366540052	1.44858921667085	3.08746528199968	1.67129289311349	1.92488189213382
Average Daily Min DO [umol kg^-1]	186.708559756891	189.645513542154	188.748690963258	195.170591617584	192.702037451537	185.960691910286
Stddev (Average Daily Min DO)	1.47694715295178	1.22861644639969	0.840935392126525	1.15838426356348	0.863173389545766	1.42513408451649
Average Daily Production Rate [umol kg^-1 min^-1]	0.199545108500246	0.241041050756706	0.196853947848988	0.232715751320967	0.183053563562083	0.237528167197591
Stddev (Average Daily Production Rate)	0.119699488252533	0.00219437727444932	0.12350821724775	0.00169109907987804	0.110923446644244	0.122957347713644
Average Daily Consumption Rate [umol kg^-1 min^-1]	-0.216668584993613	-0.188129666255283	-0.211078609798998	-0.170294972099384	-0.189200110328566	-0.246796048183266
Stddev (Average Daily Consumption Rate)	0.041663879361819	0.0332375515578755	0.0462298007646957	0.0452103553630111	0.0326680768561844	0.0651116287577738
Average Total DO [umol kg^-1]	196.245050547682	197.970591153532	197.921441814782	202.758216264233	201.096226069393	196.937970073706
Stddev (Average Timeseries DO)	8.28985729320665	7.30543874907918	8.04896746900809	6.75764943216215	7.22014657915513	9.51454743645638
Average Daily Max PAR [umol photons m^-2 s^-1]	670.07069848015	670.07069848015	670.07069848015	670.07069848015	670.07069848015	670.07069848015
Stddev (Average Daily Max PAR)	72.5829939745323	72.5829939745323	72.5829939745323	72.5829939745323	72.5829939745323	72.5829939745323
Average Total PAR [umol photons m^-2 s^-1]	239.19279796047	239.19279796047	239.19279796047	239.19279796047	239.19279796047	239.19279796047
Stddev (Average Total PAR)	318.901886595193	318.901886595193	318.901886595193	318.901886595193	318.901886595193	318.901886595193
Inegrated DO [umol*sec kg^-1]	2411863.35646813	2290372.88409809	2273806.87484192	2347481.53419679	2495550.85643278	2650371.87792835
Integrated PAR [umol photons m^-2]	60515585.8997305	60515585.8997305	60515585.8997305	60515585.8997305	60515585.8997305	60515585.8997305
umol Photons Absorbed [m^-2] to Produce 1.0 umol Oxygen [kg^-1]	25.0908019881972	26.4217177560415	26.6142153800716	25.7789401186648	24.2493899668442	22.8328659852187
