Row	Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
Average Daily Max DO [umol kg^-1]	200.817316916929	198.43867549389	198.374651641857	198.374651641857	199.695923840072	196.823854828028
Stddev (Average Daily Max DO)	5.69377766850339	4.14846859257327	4.61763625849839	4.61763625849839	4.01052071641218	4.65463863781052
Average Daily Min DO [umol kg^-1]	189.691664433332	189.957235818274	188.734514915453	188.734514915453	191.009152838219	186.896312942599
Stddev (Average Daily Min DO)	2.09022481443319	1.74502085437599	2.04224555943554	2.04224555943554	2.12300533346263	1.7633021701836
Average Daily Production Rate [umol kg^-1 min^-1]	0.112302099186744	0.10604337487004	0.0949734424347165	0.0949734424347165	0.107985016757041	0.10721697127812
Stddev (Average Daily Production Rate)	0.0593647010638582	0.0462998952922385	0.0690264289012118	0.0690264289012118	0.0183047315156893	0.0669145844895542
Average Daily Consumption Rate [umol kg^-1 min^-1]	-0.134799537464062	-0.104604608414959	-0.136109866928152	-0.136109866928152	-0.101222249683815	-0.133622452089905
Stddev (Average Daily Consumption Rate)	0.0549164675641825	0.0263771144249011	0.0445461526681266	0.0445461526681266	0.04617224640363	0.0347655267578458
Average Total DO [umol kg^-1]	194.741805211572	194.003712494078	193.136540453167	193.136540453167	194.899760954917	191.5520284449
Stddev (Average Timeseries DO)	5.71594350632167	4.58333368513942	5.30567665435765	5.30567665435765	4.62445045468378	5.3782670561732
Average Daily Max PAR [umol photons m^-2 s^-1]	437.931476105609	437.931476105609	437.931476105609	437.931476105609	437.931476105609	437.931476105609
Stddev (Average Daily Max PAR)	244.104643410009	244.104643410009	244.104643410009	244.104643410009	244.104643410009	244.104643410009
Average Total PAR [umol photons m^-2 s^-1]	135.993607451574	135.993607451574	135.993607451574	135.993607451574	135.993607451574	135.993607451574
Stddev (Average Total PAR)	223.739659080639	223.739659080639	223.739659080639	223.739659080639	223.739659080639	223.739659080639
Inegrated DO [umol*sec kg^-1]	1176124.32417569	1188944.64542441	1328307.36606944	1328307.36606944	1173563.90767447	1358089.4703883
Integrated PAR [umol photons m^-2]	32856900.0020021	32856900.0020021	32856900.0020021	32856900.0020021	32856900.0020021	32856900.0020021
umol Photons Absorbed [m^-2] to Produce 1.0 umol Oxygen [kg^-1]	27.9365874224483	27.6353488183407	24.7359164311707	24.7359164311707	27.9975379160316	24.1934723141678
