Row	Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
Average Daily Max DO [umol kg^-1]	211.203978535745	210.482804683183	209.503762532877	210.615785082533	210.367023365178	206.001977524589
Stddev (Average Daily Max DO)	0	0	0	0	0	5.1073712249448
Average Daily Min DO [umol kg^-1]	183.550186300499	185.204111929878	186.914959841248	182.068211462195	183.105882131111	178.879621988393
Stddev (Average Daily Min DO)	1.35340403268438	0.717704784593791	1.85178119618842	2.17757699848756	1.54179774935851	1.25148164333576
Average Daily Production Rate [umol kg^-1 min^-1]	0.214402926683888	0.194676867904505	0.168181870007757	0.217730699312241	0.207167581734495	0.241500562639473
Stddev (Average Daily Production Rate)	0.159710258934993	0.14800524971434	0.12862253363967	0.16116811040452	0.159038767916578	0.175389556470896
Average Daily Consumption Rate [umol kg^-1 min^-1]	-0.277171497665449	-0.24995341248426	-0.223675456238595	-0.282964121240624	-0.275555712808639	-0.313117916485808
Stddev (Average Daily Consumption Rate)	0.111491486495444	0.0929655539296283	0.0912596193840624	0.12026907865693	0.104476774944995	0.11739091905172
Average Total DO [umol kg^-1]	195.087412065935	195.768802305146	196.36441519832	193.906498046291	194.397296465125	191.742378049483
Stddev (Average Timeseries DO)	10.2317999814099	9.36266642216812	8.49390918607135	10.6341417562954	10.0393382508539	11.2391063005285
Average Daily Max PAR [umol photons m^-2 s^-1]	635.582032279667	635.582032279667	635.582032279667	635.582032279667	635.582032279667	635.582032279667
Stddev (Average Daily Max PAR)	0	0	0	0	0	0
Average Total PAR [umol photons m^-2 s^-1]	174.189031699926	174.189031699926	174.189031699926	174.189031699926	174.189031699926	174.189031699926
Stddev (Average Total PAR)	255.600209136843	255.600209136843	255.600209136843	255.600209136843	255.600209136843	255.600209136843
Inegrated DO [umol*sec kg^-1]	1659284.89320929	1602109.46251311	1543272.33281612	2040647.61238058	1834509.25405335	1975820.72715294
Integrated PAR [umol photons m^-2]	29835779.1936905	29835779.1936905	29835779.1936905	29835779.1936905	29835779.1936905	29835779.1936905
umol Photons Absorbed [m^-2] to Produce 1.0 umol Oxygen [kg^-1]	17.9811069912075	18.6228094220786	19.3328024868086	14.6207405005535	16.2636297024768	15.1004485293979
