Row	Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
Average Daily Max DO [umol kg^-1]	200.568102503093	195.581097627248	199.212390060624	198.930883996008	199.301790185476	201.336484964019
Stddev (Average Daily Max DO)	0.880503062247267	0.909907503926322	1.32190024444115	1.0522318839248	1.8147026142701	0.206776927489165
Average Daily Min DO [umol kg^-1]	167.570214083365	165.396537011025	166.61052671901	173.892926370712	168.01866744303	171.77178401063
Stddev (Average Daily Min DO)	9.35648786918307	6.97416332656485	8.84144492378869	9.46504036987298	8.58778729872634	9.40570838130647
Average Daily Production Rate [umol kg^-1 min^-1]	0.38491861137085	0.366531021054769	0.379132673779381	0.308878296408693	0.374678816128892	0.353641416277853
Stddev (Average Daily Production Rate)	0.122615344612133	0.108080447918108	0.125338407320938	0.118956584090897	0.128927974456569	0.113111960926772
Average Daily Consumption Rate [umol kg^-1 min^-1]	-0.357919560364299	-0.321925721069505	-0.354618692381554	-0.268341639490435	-0.339422242611297	-0.316134363910322
Stddev (Average Daily Consumption Rate)	0.0559272964799703	0.0183897574222847	0.0621385868054935	0.0408624943349345	0.0529585948365144	0.0523592710945027
Average Total DO [umol kg^-1]	182.72264490868	178.750612841038	181.550567217396	185.011599666755	182.180641368823	185.342544793613
Stddev (Average Timeseries DO)	13.2174764017965	12.5126014708547	13.2923209015594	10.8268138315204	12.8257926305502	12.1831832473307
Average Daily Max PAR [umol photons m^-2 s^-1]	800.787969375027	800.787969375027	800.787969375027	800.787969375027	800.787969375027	800.787969375027
Stddev (Average Daily Max PAR)	41.262679209143	41.262679209143	41.262679209143	41.262679209143	41.262679209143	41.262679209143
Average Total PAR [umol photons m^-2 s^-1]	297.279501464539	297.279501464539	297.279501464539	297.279501464539	297.279501464539	297.279501464539
Stddev (Average Total PAR)	354.055179551852	354.055179551852	354.055179551852	354.055179551852	354.055179551852	354.055179551852
Inegrated DO [umol*sec kg^-1]	2523200.21356146	2623019.32711	2659843.39598844	2261818.64963819	2518087.03655033	2466837.24587838
Integrated PAR [umol photons m^-2]	50007296.0603509	50007296.0603509	50007296.0603509	50007296.0603509	50007296.0603509	50007296.0603509
umol Photons Absorbed [m^-2] to Produce 1.0 umol Oxygen [kg^-1]	19.8189964441095	19.0647836802057	18.8008422359646	22.1093305019615	19.8592405006217	20.271826260084
