Rise	Set	MaxIntensity
2013-18-10 16:35	2013-19-10 04:56	0.99
2013-19-10 17:25	2013-20-10 05:43	1
2013-20-10 18:15	2013-21-10 06:32	0.99
2013-21-10 19:06	2013-22-10 07:20	0.96
2013-22-10 19:56	2013-23-10 08:09	0.91
2013-23-10 20:46	2013-24-10 08:59	0.85
2013-24-10 21:36	2013-25-10 09:48	0.77
2013-25-10 22:24	2013-26-10 10:36	0.69
2013-26-10 23:11	2013-27-10 11:23	0.6
2013-27-10 23:56	2013-28-10 12:09	0.51
2013-29-10 00:41	2013-29-10 12:55	0.41
2013-30-10 01:24	2013-30-10 13:41	0.32
2013-31-10 02:07	2013-31-10 14:26	0.23
2013-01-11 02:51	2013-01-11 15:13	0.15
2013-02-11 03:37	2013-02-11 16:02	0.08
2013-03-11 04:24	2013-03-11 16:53	0.03
2013-04-11 05:14	2013-04-11 17:47	0.01
2013-05-11 06:07	2013-05-11 18:43	0
2013-06-11 07:03	2013-06-11 19:42	0.03
2013-07-11 08:02	2013-07-11 20:43	0.08
2013-08-11 09:02	2013-08-11 21:43	0.15
2013-09-11 10:03	2013-09-11 22:41	0.24
2013-10-11 11:01	2013-10-11 23:36	0.35
2013-11-11 11:57	2013-12-11 00:28	0.46
2013-12-11 12:50	2013-13-11 01:18	0.57
2013-13-11 13:42	2013-14-11 02:06	0.68
2013-14-11 14:31	2013-15-11 02:53	0.78
