SENS_ID	SDN	TC	COND	O2	O2satper	pHinsitu	ORP	Vbatt	VpH	COVER
3	9/17/11 11:55	20.94	639.9	6.29	70.7	8.01	225	12.29	-78.5	3
3	9/17/11 12:00	27.58	58010	5.49	86.5	7.97	264	12.17	-77.44	3
3	9/17/11 12:05	27.71	57880	5.81	91.7	7.96	232	12.26	-76.68	3
3	9/17/11 12:10	27.94	58130	5.87	93.1	7.94	208	12.29	-75.07	3
3	9/17/11 12:15	28.22	58140	5.79	92.2	7.94	185	12.29	-74.39	3
3	9/17/11 12:20	28.32	58140	5.76	92	7.93	171	12.31	-73.77	3
3	9/17/11 12:25	27.17	59330	6	94.4	8.23	161	12.29	-99.47	3
3	9/17/11 12:30	27.17	59130	6.03	94.8	8.23	161	12.29	-98.98	3
3	9/17/11 12:35	27.2	59380	5.99	94.4	8.24	161	12.29	-100	3
3	9/17/11 12:40	27.23	59350	6.01	94.7	8.24	158	12.24	-100.2	3
3	9/17/11 12:45	27.19	59150	6.02	94.8	8.24	155	12.26	-100.1	3
3	9/17/11 12:50	27.2	59150	6.04	95.1	8.24	154	12.28	-100	3
3	9/17/11 12:55	27.31	59320	6.06	95.6	8.22	154	12.24	-98.72	3
3	9/17/11 13:00	27.31	59040	6.08	95.8	8.22	155	12.24	-98.27	3
3	9/17/11 13:05	27.36	59230	6.09	96.2	8.22	155	12.24	-98.16	3
3	9/17/11 13:10	27.39	59220	6.12	96.6	8.21	155	12.26	-98.05	3
3	9/17/11 13:15	27.4	59200	6.15	97.1	8.22	155	12.23	-98.03	3
3	9/17/11 13:20	27.37	59110	6.16	97.2	8.21	154	12.23	-97.83	3
3	9/17/11 13:25	27.37	59210	6.13	96.8	8.21	154	12.23	-97.6	3
3	9/17/11 13:30	27.45	59200	6.13	96.9	8.21	154	12.21	-97.24	3
3	9/17/11 13:35	27.63	59200	6.08	96.4	8.2	155	12.21	-96.84	3
3	9/17/11 13:40	27.8	59300	6	95.4	8.19	154	12.21	-96.35	3
3	9/17/11 13:45	27.85	59180	5.93	94.4	8.19	154	12.17	-95.98	3
3	9/17/11 13:50	28.07	59090	5.89	94	8.18	153	12.17	-95.67	3
3	9/17/11 13:55	28.03	59190	5.91	94.2	8.18	152	12.21	-95.66	3
3	9/17/11 14:00	28.08	59210	5.9	94.2	8.18	153	12.19	-95.18	3
3	9/17/11 14:05	28.13	59300	5.85	93.5	8.17	153	12.17	-94.92	3
3	9/17/11 14:10	28.16	59160	5.84	93.3	8.17	154	12.16	-94.82	3
3	9/17/11 14:15	27.92	59250	5.87	93.5	8.18	154	12.17	-95.29	3
3	9/17/11 14:20	27.86	59180	5.86	93.3	8.18	153	12.17	-95.45	3
3	9/17/11 14:25	27.7	59200	5.92	93.9	8.19	154	12.16	-95.75	3
3	9/17/11 14:30	27.65	59210	5.95	94.4	8.19	153	12.14	-96.19	3
3	9/17/11 14:35	27.72	59020	6.03	95.6	8.19	151	12.16	-96.48	3
3	9/17/11 14:40	27.67	59180	6.1	96.8	8.2	151	12.16	-96.66	3
3	9/17/11 14:45	27.69	59150	6.12	97.1	8.2	150	12.14	-96.67	3
3	9/17/11 14:50	27.71	59260	6.13	97.3	8.2	150	12.12	-96.7	3
3	9/17/11 14:55	27.66	59230	6.13	97.2	8.19	149	12.12	-96.5	3
3	9/17/11 15:00	27.64	59120	6.16	97.6	8.2	149	12.11	-96.61	3
3	9/17/11 15:05	27.63	59200	6.16	97.7	8.2	149	12.11	-96.54	3
3	9/17/11 15:10	27.65	59140	6.18	97.9	8.2	149	12.11	-96.81	3
3	9/17/11 15:15	27.62	59080	6.21	98.3	8.2	149	12.12	-96.76	3
3	9/17/11 15:20	27.58	59170	6.22	98.6	8.2	149	12.09	-96.82	3
3	9/17/11 15:25	27.57	59220	6.25	99.1	8.2	149	12.12	-96.76	3
3	9/17/11 15:30	27.52	59210	6.29	99.6	8.2	149	12.09	-96.91	3
3	9/17/11 15:35	27.5	59250	6.28	99.3	8.2	149	12.11	-96.87	3
3	9/17/11 15:40	27.55	59330	6.27	99.2	8.2	149	12.07	-96.98	3
3	9/17/11 15:45	27.48	59280	6.3	99.7	8.2	149	12.07	-96.94	3
3	9/17/11 15:50	27.47	59140	6.3	99.6	8.2	149	12.06	-96.95	3
3	9/17/11 15:55	27.43	59200	6.27	99	8.2	149	12.07	-96.89	3
