SENS_ID	SDN	O2	O2satper	TC	pHinsitu	VpH	COND	ORP	Vbatt
1	2015-11-09 21:18	5.5	84.1	26.95	7.1	-87.54	53300	72	10.82
1	2015-11-09 21:20	5.89	90.1	26.95	7.21	-87.16	53390	74	10.82
1	2015-11-09 21:22	6.13	93.7	26.95	7.31	-86.79	53270	75	10.85
1	2015-11-09 21:24	6.24	95.4	26.94	7.39	-86.51	53220	76	10.85
1	2015-11-09 21:26	6.3	96.3	26.93	7.45	-86.3	53330	77	10.83
1	2015-11-09 21:28	6.33	96.8	26.93	7.51	-86.09	53330	77	10.83
1	2015-11-09 21:30	6.35	97	26.92	7.57	-85.89	53240	78	10.82
1	2015-11-09 21:32	6.35	97.1	26.92	7.61	-85.73	53240	78	10.8
1	2015-11-09 21:34	6.37	97.3	26.91	7.64	-85.62	53200	78	10.82
1	2015-11-09 21:36	6.35	97	26.91	7.68	-85.5	53300	79	10.82
1	2015-11-09 21:38	6.35	97.1	26.91	7.72	-85.37	53320	79	10.83
1	2015-11-09 21:40	6.34	96.9	26.9	7.76	-85.22	53250	79	10.82
1	2015-11-09 21:42	6.34	96.9	26.89	7.78	-85.15	53300	79	10.83
1	2015-11-09 21:44	6.34	96.9	26.89	7.81	-85.03	53270	79	10.8
1	2015-11-09 21:46	6.33	96.7	26.89	7.84	-84.93	53280	79	10.82
1	2015-11-09 21:48	6.33	96.8	26.88	7.87	-84.82	53340	79	10.83
1	2015-11-09 21:50	6.33	96.7	26.88	7.89	-84.75	53270	80	10.8
1	2015-11-09 21:52	6.33	96.7	26.87	7.92	-84.67	53280	80	10.8
1	2015-11-09 21:54	6.32	96.5	26.87	7.93	-84.61	53280	80	10.8
1	2015-11-09 21:56	6.31	96.4	26.87	7.96	-84.5	53280	80	10.83
1	2015-11-09 21:58	6.31	96.4	26.86	7.98	-84.43	53300	80	10.82
1	2015-11-09 22:00	6.31	96.4	26.86	8.01	-84.35	53270	80	10.8
1	2015-11-09 22:02	6.31	96.4	26.85	8.03	-84.26	53300	80	10.83
1	2015-11-09 22:04	6.32	96.5	26.85	8.04	-84.23	53360	80	10.82
1	2015-11-09 22:06	6.31	96.3	26.85	8.06	-84.18	53290	80	10.8
1	2015-11-09 22:08	6.3	96.2	26.84	8.08	-84.11	53270	80	10.83
1	2015-11-09 22:10	6.3	96.2	26.84	8.1	-84.01	53280	80	10.8
1	2015-11-09 22:12	6.3	96.2	26.83	8.11	-83.98	53260	80	10.8
1	2015-11-09 22:14	6.3	96.2	26.82	8.13	-83.92	53320	80	10.82
1	2015-11-09 22:16	6.3	96.1	26.82	8.15	-83.85	53290	81	10.82
1	2015-11-09 22:18	6.29	96	26.81	8.16	-83.83	53260	81	10.66
1	2015-11-09 22:20	6.29	96	26.81	8.17	-83.8	53310	81	10.78
1	2015-11-09 22:22	6.29	96	26.8	8.19	-83.72	53330	81	10.82
1	2015-11-09 22:24	6.3	96	26.8	8.2	-83.68	53290	81	10.78
1	2015-11-09 22:26	6.28	95.8	26.8	8.22	-83.62	53310	81	10.8
1	2015-11-09 22:28	6.29	95.9	26.79	8.23	-83.57	53310	81	10.78
1	2015-11-09 22:30	6.28	95.8	26.79	8.24	-83.55	53250	81	10.82
1	2015-11-09 22:32	6.28	95.8	26.79	8.26	-83.48	53290	81	10.78
1	2015-11-09 22:34	6.28	95.7	26.79	8.27	-83.42	53180	81	10.8
1	2015-11-09 22:36	6.28	95.8	26.78	8.28	-83.4	53320	81	10.82
1	2015-11-09 22:38	6.26	95.6	26.77	8.29	-83.35	53360	81	10.8
1	2015-11-09 22:40	6.28	95.7	26.77	8.31	-83.31	53180	81	10.82
1	2015-11-09 22:42	6.27	95.6	26.77	8.31	-83.28	53240	81	10.82
1	2015-11-09 22:44	6.29	95.8	26.76	8.33	-83.21	53190	81	10.8
1	2015-11-09 22:46	6.27	95.5	26.76	8.35	-83.17	53240	81	10.82
1	2015-11-09 22:48	6.27	95.5	26.76	8.36	-83.11	53280	81	10.8
