SENS_ID	SDN	TC	COND	O2	O2satper	pHinsitu	ORP	Vbatt	VpH	COVER
1	9/2/11 9:50	26.42	54840	6.05	92.1	8	71	12.48	-84.62	1
1	9/2/11 9:55	26.29	54890	6	91.3	7.99	76	12.46	-84.52	1
1	9/2/11 10:00	26.21	54780	6.02	91.4	7.99	80	12.48	-84.18	1
1	9/2/11 10:05	26.13	54850	5.97	90.5	7.98	84	12.46	-83.77	1
1	9/2/11 10:10	26.02	54970	5.94	90	7.97	87	12.45	-83.31	1
1	9/2/11 10:15	25.95	54900	5.94	89.8	7.97	89	12.46	-82.95	1
1	9/2/11 10:20	25.86	54770	5.96	90	7.96	92	12.36	-82.62	1
1	9/2/11 10:25	25.79	54880	5.98	90.1	7.96	94	12.34	-82.38	1
1	9/2/11 10:30	25.72	54820	5.98	90	7.96	95	12.34	-82.16	1
1	9/2/11 10:35	25.65	54910	5.97	89.8	7.95	97	12.34	-81.97	1
1	9/2/11 10:40	25.62	54830	5.93	89.1	7.95	97	12.34	-81.58	1
1	9/2/11 10:45	25.91	54780	5.92	89.5	7.93	98	12.41	-80.75	1
1	9/2/11 10:50	26.27	54850	5.92	89.9	7.92	99	12.4	-80.13	1
1	9/2/11 10:55	26.64	54790	5.92	90.5	7.91	99	12.4	-79.47	1
1	9/2/11 11:00	26.92	55060	5.92	91.1	7.9	99	12.34	-78.96	1
1	9/2/11 11:05	27.19	55130	5.94	91.7	7.89	98	12.41	-78.49	1
1	9/2/11 11:10	27.38	54910	5.95	92.1	7.88	98	12.38	-78.14	1
1	9/2/11 11:15	27.52	55050	5.94	92.3	7.87	97	12.38	-77.71	1
1	9/2/11 11:20	27.61	54940	5.96	92.6	7.87	95	12.36	-77.26	1
1	9/2/11 11:25	27.73	55010	5.97	93	7.86	92	12.31	-76.84	1
1	9/2/11 11:30	27.79	55050	5.97	93.1	7.85	89	12.29	-76.2	1
1	9/2/11 11:35	27.79	54970	5.98	93.2	7.85	91	12.29	-76.24	1
1	9/2/11 11:40	27.24	55030	7.56	116.9	8.1	95	12.33	-90.75	1
1	9/2/11 11:45	27.26	55250	7.77	120.3	8.11	101	12.31	-91.39	1
1	9/2/11 11:50	27.22	55250	7.74	119.7	8.1	105	12.31	-91.27	1
1	9/2/11 11:55	27.18	55220	7.63	117.9	8.1	107	12.31	-91.26	1
1	9/2/11 12:00	27.19	55160	7.56	116.8	8.1	108	12.21	-91.3	1
1	9/2/11 12:05	27.2	55150	7.49	115.8	8.1	109	12.29	-91.26	1
1	9/2/11 12:10	27.18	55180	7.45	115.1	8.1	109	12.28	-91.28	1
1	9/2/11 12:15	27.2	55090	7.51	116	8.11	110	12.28	-91.39	1
1	9/2/11 12:20	27.19	55160	7.54	116.5	8.1	111	12.28	-91.31	1
1	9/2/11 12:25	27.25	55090	7.68	118.8	8.11	111	12.24	-91.68	1
1	9/2/11 12:30	27.28	55230	7.69	119	8.11	111	12.24	-91.78	1
1	9/2/11 12:35	27.3	55160	7.79	120.6	8.11	111	12.24	-91.97	1
1	9/2/11 12:40	27.31	55310	7.85	121.6	8.12	111	12.24	-92.18	1
1	9/2/11 12:45	27.34	55130	7.88	122.1	8.12	111	12.24	-92.26	1
1	9/2/11 12:50	27.39	55150	7.91	122.5	8.12	111	12.23	-92.37	1
1	9/2/11 12:55	27.35	55050	7.87	121.8	8.12	111	12.14	-92.12	1
1	9/2/11 13:00	27.39	55180	7.89	122.3	8.12	111	12.16	-92.4	1
1	9/2/11 13:05	27.43	55110	8.01	124.2	8.11	109	12.12	-92.05	1
1	9/2/11 13:10	27.47	55090	8.15	126.5	8.11	108	12.12	-91.86	1
1	9/2/11 13:15	27.49	55200	8.29	128.7	8.11	108	12.14	-91.68	1
1	9/2/11 13:20	27.54	55130	8.46	131.4	8.11	108	12.14	-91.6	1
1	9/2/11 13:25	27.58	55360	8.56	133.2	8.11	108	12.12	-91.61	1
1	9/2/11 13:30	27.59	55170	8.73	135.7	8.11	109	12.09	-91.63	1
1	9/2/11 13:35	27.6	55140	8.67	134.8	8.11	109	12.12	-91.49	1
1	9/2/11 13:40	27.63	55240	8.68	135.2	8.1	109	12.09	-91.41	1
1	9/2/11 13:45	27.64	55190	8.71	135.6	8.1	109	12.11	-91.33	1
1	9/2/11 13:50	27.66	55130	8.75	136.2	8.1	110	12.09	-91.16	1
1	9/2/11 13:55	27.64	55210	8.89	138.4	8.1	110	12.09	-91.07	1
1	9/2/11 14:00	27.63	55170	8.98	139.7	8.1	111	12.07	-90.98	1
1	9/2/11 14:05	27.67	55220	9.08	141.4	8.1	111	12.06	-90.94	1
1	9/2/11 14:10	27.7	55090	9.17	142.8	8.1	111	12.07	-91.03	1
1	9/2/11 14:15	27.67	55530	9.24	144.2	8.1	111	12.06	-90.93	1
1	9/2/11 14:20	27.65	55200	9.31	145	8.1	111	12.04	-90.82	1
1	9/2/11 14:25	27.63	55120	9.26	144.1	8.1	111	12.06	-90.87	1
1	9/2/11 14:30	27.62	55130	9.18	142.8	8.1	111	12.04	-90.81	1
1	9/2/11 14:35	27.63	55560	9.2	143.4	8.09	111	12.02	-90.44	1
1	9/2/11 14:40	27.63	55080	9.28	144.4	8.09	111	12.02	-90.58	1
1	9/2/11 14:45	27.65	55510	9.34	145.6	8.09	111	12	-90.5	1
1	9/2/11 14:50	27.65	55280	9.48	147.7	8.09	111	12.02	-90.43	1
1	9/2/11 14:55	27.65	55110	9.56	148.7	8.09	111	12.02	-90.49	1
1	9/2/11 15:00	27.65	55140	9.59	149.3	8.09	111	11.99	-90.48	1
1	9/2/11 15:05	27.65	54770	9.63	149.7	8.09	111	11.97	-90.47	1
1	9/2/11 15:10	27.62	55150	9.68	150.6	8.09	111	11.99	-90.42	1
1	9/2/11 15:15	27.58	54970	9.69	150.5	8.09	111	11.97	-90.19	1
1	9/2/11 15:20	27.55	55230	9.44	146.8	8.09	112	11.95	-90.14	1
1	9/2/11 15:25	27.57	55140	9.36	145.6	8.09	112	11.99	-90.22	1
1	9/2/11 15:30	27.58	55100	9.49	147.6	8.09	112	11.97	-90.27	1
1	9/2/11 15:35	27.55	55070	9.54	148.2	8.08	112	11.95	-90.11	1
1	9/2/11 15:40	27.55	55240	9.53	148.2	8.09	112	11.97	-90.13	1
1	9/2/11 15:45	27.52	55180	9.45	146.8	8.08	112	11.94	-89.97	1
1	9/2/11 15:50	27.5	55190	9.52	147.8	8.08	112	11.94	-89.92	1
1	9/2/11 15:55	27.49	55220	9.43	146.5	8.08	112	11.83	-89.7	1
1	9/2/11 16:00	27.5	55130	9.47	147.1	8.08	112	11.94	-89.83	1
1	9/2/11 16:05	27.48	54990	9.5	147.4	8.08	113	11.94	-89.72	1
1	9/2/11 16:10	27.47	55120	9.41	146	8.08	113	11.92	-89.47	1
1	9/2/11 16:15	27.45	55060	9.37	145.4	8.08	113	11.94	-89.61	1
1	9/2/11 16:20	27.44	55130	9.36	145.1	8.08	113	11.9	-89.55	1
1	9/2/11 16:25	27.44	55150	9.38	145.5	8.08	113	11.89	-89.45	1
1	9/2/11 16:30	27.44	55040	9.42	146	8.08	114	11.92	-89.44	1
1	9/2/11 16:35	27.42	55110	9.51	147.5	8.07	113	11.9	-89.22	1
1	9/2/11 16:40	27.42	55100	9.44	146.4	8.07	114	11.9	-89.29	1
1	9/2/11 16:45	27.39	55120	9.39	145.6	8.07	114	11.9	-89.13	1
1	9/2/11 16:50	27.37	55140	9.33	144.5	8.07	114	11.89	-88.97	1
1	9/2/11 16:55	27.35	55170	9.3	144	8.07	114	11.9	-89.03	1
1	9/2/11 17:00	27.33	55190	9.19	142.4	8.07	114	11.85	-88.85	1
1	9/2/11 17:05	27.31	55060	9.13	141.3	8.06	114	11.89	-88.78	1
1	9/2/11 17:10	27.29	55050	9.02	139.5	8.06	114	11.87	-88.45	1
1	9/2/11 17:15	27.27	55080	8.96	138.6	8.06	114	11.83	-88.56	1
1	9/2/11 17:20	27.26	55060	8.88	137.3	8.06	114	11.87	-88.42	1
1	9/2/11 17:25	27.24	55060	8.89	137.5	8.06	114	11.87	-88.41	1
1	9/2/11 17:30	27.21	55110	8.72	134.8	8.05	114	11.83	-88.03	1
1	9/2/11 17:35	27.2	55070	8.66	133.8	8.05	114	11.82	-87.96	1
1	9/2/11 17:40	27.16	55040	8.53	131.7	8.05	114	11.83	-87.72	1
1	9/2/11 17:45	27.14	55070	8.33	128.5	8.04	114	11.83	-87.05	1
1	9/2/11 17:50	27.12	55020	8.24	127	8.05	113	11.83	-87.73	1
1	9/2/11 17:55	27.09	55080	8.21	126.6	8.04	113	11.83	-87.34	1
1	9/2/11 18:00	27.06	55100	7.9	121.8	8.02	114	11.8	-86.27	1
1	9/2/11 18:05	27.04	55000	7.64	117.7	8.01	113	11.82	-85.76	1
1	9/2/11 18:10	27.02	55100	7.54	116.1	8.02	113	11.82	-86.13	1
1	9/2/11 18:15	26.99	55060	7.4	113.9	8.02	113	11.82	-85.97	1
1	9/2/11 18:20	26.97	55110	7.34	113	8.01	113	11.72	-85.72	1
1	9/2/11 18:25	26.94	55120	7.11	109.4	8.01	112	11.8	-85.49	1
1	9/2/11 18:30	26.92	55100	7.15	110	8.01	112	11.8	-85.56	1
1	9/2/11 18:35	26.9	55060	6.94	106.7	8	112	11.8	-84.78	1
1	9/2/11 18:40	26.87	55010	6.61	101.6	7.99	112	11.78	-84.33	1
1	9/2/11 18:45	26.84	55030	6.37	97.9	7.98	112	11.77	-83.9	1
1	9/2/11 18:50	26.82	55030	6.25	96	7.98	112	11.77	-83.76	1
1	9/2/11 18:55	26.79	55080	6.08	93.3	7.97	112	11.78	-83.04	1
1	9/2/11 19:00	26.79	54930	6.1	93.5	7.98	111	11.77	-83.65	1
1	9/2/11 19:05	26.78	55030	6.13	94	7.98	111	11.77	-83.98	1
1	9/2/11 19:10	26.77	55030	6.28	96.3	7.98	111	11.75	-83.82	1
1	9/2/11 19:15	26.73	54980	5.65	86.6	7.94	111	11.75	-81.17	1
1	9/2/11 19:20	26.73	54980	5.43	83.2	7.94	111	11.73	-81.35	1
1	9/2/11 19:25	26.72	55000	5.3	81.2	7.91	111	11.75	-79.62	1
1	9/2/11 19:30	26.71	55120	5.18	79.5	7.89	110	11.75	-78.64	1
1	9/2/11 19:35	26.7	55050	4.87	74.6	7.88	109	11.72	-77.76	1
1	9/2/11 19:40	26.69	54960	5.02	76.9	7.9	108	11.63	-79.3	1
1	9/2/11 19:45	26.69	55040	4.94	75.7	7.9	108	11.75	-79.25	1
1	9/2/11 19:50	26.68	55000	4.92	75.3	7.91	108	11.73	-79.44	1
1	9/2/11 19:55	26.67	55110	4.84	74.1	7.89	108	11.73	-78.48	1
1	9/2/11 20:00	26.66	55090	4.65	71.2	7.87	108	11.73	-77.51	1
1	9/2/11 20:05	26.66	54940	4.61	70.6	7.87	107	11.73	-77.12	1
1	9/2/11 20:10	26.66	55050	4.6	70.5	7.89	107	11.68	-78.51	1
1	9/2/11 20:15	26.65	55090	4.83	74	7.9	107	11.72	-79.24	1
1	9/2/11 20:20	26.64	55090	4.85	74.3	7.91	107	11.7	-79.58	1
1	9/2/11 20:25	26.64	55020	4.81	73.6	7.89	108	11.72	-78.3	1
1	9/2/11 20:30	26.64	55020	4.62	70.7	7.87	108	11.7	-77.58	1
1	9/2/11 20:35	26.64	54940	4.43	67.8	7.87	107	11.68	-77.2	1
1	9/2/11 20:40	26.64	55050	4.37	66.9	7.85	107	11.7	-76.37	1
1	9/2/11 20:45	26.63	55020	4.31	66	7.88	107	11.7	-77.93	1
1	9/2/11 20:50	26.64	54870	4.45	68	7.89	107	11.68	-78.72	1
1	9/2/11 20:55	26.63	55040	4.49	68.8	7.89	107	11.7	-78.54	1
1	9/2/11 21:00	26.63	54940	4.52	69.2	7.89	107	11.66	-78.48	1
1	9/2/11 21:05	26.63	55090	4.45	68.1	7.89	107	11.66	-78.47	1
1	9/2/11 21:10	26.63	55030	4.36	66.7	7.87	107	11.65	-77.41	1
1	9/2/11 21:15	26.62	55050	4.29	65.7	7.87	107	11.63	-77.36	1
1	9/2/11 21:20	26.62	55000	4.23	64.8	7.87	107	11.68	-77.59	1
1	9/2/11 21:25	26.62	55000	4.19	64.1	7.86	107	11.65	-77.01	1
1	9/2/11 21:30	26.61	55040	4.19	64.1	7.88	107	11.66	-78.17	1
1	9/2/11 21:35	26.61	55010	4.12	63	7.87	107	11.66	-77.64	1
1	9/2/11 21:40	26.61	54970	4.02	61.5	7.86	107	11.66	-76.96	1
