SENS_ID	SDN	TC	COND	O2	O2satper	pHinsitu	ORP	Vbatt	VpH	COVER
3	9/14/11 14:55	26.81	57420	6.58	102.1	7.96	253	12.24	-77.53	Sand
3	9/14/11 15:00	27.33	57040	6.78	106.1	7.95	237	12.24	-76.77	Sand
3	9/14/11 15:05	27.4	57260	7.03	110.1	7.94	223	12.28	-76.29	Sand
3	9/14/11 15:10	27.47	57280	7.11	111.5	7.93	210	12.24	-75.52	Sand
3	9/14/11 15:15	27.53	57360	7.13	111.9	7.93	200	12.24	-75.07	Sand
3	9/14/11 15:20	27.63	57330	7.11	111.8	7.92	189	12.24	-74.64	Sand
3	9/14/11 15:25	27.67	57370	7.11	111.8	7.92	180	12.24	-74.46	Sand
3	9/14/11 15:30	27.67	57260	7.11	111.8	7.91	172	12.26	-74.33	Sand
3	9/14/11 15:35	27.57	57290	7.08	111.1	7.92	166	12.24	-74.32	Sand
3	9/14/11 15:40	27.61	57410	7.06	111.1	7.91	161	12.23	-74.15	Sand
3	9/14/11 15:45	27.43	57770	7.18	112.7	8.2	149	12.23	-96.04	Sand
3	9/14/11 15:50	27.44	57720	7.31	114.9	8.23	152	12.23	-98.08	Sand
3	9/14/11 15:55	27.47	57740	7.29	114.6	8.22	155	12.14	-97.37	Sand
3	9/14/11 16:00	27.48	57880	7.3	114.8	8.21	157	12.12	-96.98	Sand
3	9/14/11 16:05	27.59	57830	7.26	114.3	8.21	157	12.21	-96.62	Sand
3	9/14/11 16:10	27.47	57820	7.23	113.6	8.22	157	12.19	-97.48	Sand
3	9/14/11 16:15	27.53	57850	7.23	113.8	8.22	157	12.19	-97.42	Sand
3	9/14/11 16:20	27.52	57730	7.26	114.2	8.22	157	12.19	-97.27	Sand
3	9/14/11 16:25	27.52	57700	7.26	114.1	8.21	157	12.16	-96.99	Sand
3	9/14/11 16:30	27.53	57680	7.26	114.2	8.21	156	12.19	-97.06	Sand
3	9/14/11 16:35	27.6	57750	7.28	114.7	8.21	155	12.17	-97.22	Sand
3	9/14/11 16:40	27.52	57750	7.24	113.8	8.21	155	12.16	-96.94	Sand
3	9/14/11 16:45	27.53	57850	7.21	113.4	8.21	154	12.17	-96.76	Sand
3	9/14/11 16:50	27.54	57720	7.18	112.9	8.21	153	12.17	-96.61	Sand
3	9/14/11 16:55	27.57	57670	7.17	112.8	8.21	153	12.16	-96.65	Sand
3	9/14/11 17:00	27.55	57760	7.09	111.5	8.21	153	12.16	-96.54	Sand
3	9/14/11 17:05	27.54	57760	7.06	111.1	8.21	153	12.12	-96.66	Sand
3	9/14/11 17:10	27.52	57740	7.05	110.9	8.2	152	12.14	-96.4	Sand
3	9/14/11 17:15	27.51	57760	7	110.1	8.21	152	12.11	-96.55	Sand
3	9/14/11 17:20	27.5	57710	6.95	109.3	8.2	152	12.12	-96.25	Sand
3	9/14/11 17:25	27.49	57680	6.91	108.6	8.2	151	12.11	-96.17	Sand
3	9/14/11 17:30	27.49	57670	6.91	108.6	8.2	151	12.11	-96.23	Sand
3	9/14/11 17:35	27.46	57640	6.89	108.1	8.2	151	12.12	-95.99	Sand
3	9/14/11 17:40	27.43	57690	6.83	107.3	8.2	150	12.09	-96.1	Sand
3	9/14/11 17:45	27.44	57730	6.78	106.5	8.2	150	12.11	-95.96	Sand
3	9/14/11 17:50	27.42	57650	6.73	105.7	8.2	150	12.11	-95.8	Sand
3	9/14/11 17:55	27.38	57670	6.7	105.1	8.19	150	12.09	-95.59	Sand
3	9/14/11 18:00	27.37	57680	6.6	103.5	8.19	149	12.07	-95.59	Sand
3	9/14/11 18:05	27.35	57600	6.55	102.7	8.19	149	12.07	-95.4	Sand
3	9/14/11 18:10	27.34	57770	6.51	102.1	8.19	148	12.06	-95.34	Sand
3	9/14/11 18:15	27.32	57590	6.46	101.1	8.19	148	12.07	-95.29	Sand
3	9/14/11 18:20	27.3	57690	6.44	100.9	8.18	148	12.07	-94.97	Sand
3	9/14/11 18:25	27.29	57730	6.37	99.7	8.18	147	12.04	-94.8	Sand
3	9/14/11 18:30	27.27	57630	6.29	98.5	8.18	147	12.04	-94.64	Sand
3	9/14/11 18:35	27.26	57700	6.22	97.4	8.17	146	12.06	-94.27	Sand
3	9/14/11 18:40	27.26	57660	6.19	97	8.17	145	12.04	-94.12	Sand
3	9/14/11 18:45	27.24	57750	6.12	95.8	8.17	144	12.04	-94.05	Sand
3	9/14/11 18:50	27.23	57630	6.1	95.4	8.17	141	12.02	-93.77	Sand
3	9/14/11 18:55	27.22	57680	6.08	95.2	8.17	136	12.04	-93.59	Sand
3	9/14/11 19:00	27.22	57680	6.01	94	8.16	134	12.02	-93.04	Sand
3	9/14/11 19:05	27.2	57680	5.95	93.1	8.16	133	12.02	-93.33	Sand
3	9/14/11 19:10	27.2	57630	5.89	92	8.15	129	12.02	-92.18	Sand
3	9/14/11 19:15	27.2	57690	5.9	92.3	8.14	112	12	-91.48	Sand
3	9/14/11 19:20	27.2	57610	5.89	92.1	8.13	112	12	-90.78	Sand
3	9/14/11 19:25	27.19	57760	5.84	91.4	8.13	106	11.99	-91.16	Sand
3	9/14/11 19:30	27.18	57730	5.75	89.9	8.13	107	12	-91.28	Sand
3	9/14/11 19:35	27.18	57590	5.77	90.2	8.13	111	12	-90.69	Sand
3	9/14/11 19:40	27.16	57680	5.67	88.7	8.13	114	11.99	-90.86	Sand
3	9/14/11 19:45	27.17	57710	5.6	87.6	8.13	118	12	-90.73	Sand
3	9/14/11 19:50	27.16	57760	5.58	87.2	8.1	109	11.97	-89	Sand
3	9/14/11 19:55	27.16	57710	5.49	85.8	8.09	110	11.97	-88.36	Sand
3	9/14/11 20:00	27.16	57870	5.5	86	8.1	108	11.99	-88.78	Sand
3	9/14/11 20:05	27.15	57730	5.56	86.9	8.12	111	11.97	-90.17	Sand
3	9/14/11 20:10	27.15	57760	5.59	87.4	8.1	115	11.95	-89.16	Sand
