SENS_ID	SDN	O2	O2satper	TC	VpH	pHinsitu	COND	PSAL	ORP	Vbatt
1	5/17/15 21:04	5.23	80.5	26.59	-66.95	8.24	56620	37.61	105	10.36
1	5/17/15 21:05	5.06	77.9	26.59	-68.09	8.24	56470	37.5	95	10.37
1	5/17/15 21:06	5.05	77.6	26.59	-68.48	8.24	56420	37.46	91	10.37
1	5/17/15 21:07	5.02	77.3	26.59	-68.64	8.24	56540	37.55	89	10.34
1	5/17/15 21:08	5.01	77	26.59	-68.84	8.24	56460	37.49	88	10.36
1	5/17/15 21:09	5.02	77.1	26.59	-69.02	8.24	56310	37.38	87	10.34
1	5/17/15 21:10	5.01	77.1	26.59	-69.09	8.24	56450	37.49	86	10.36
1	5/17/15 21:11	5.01	77.1	26.58	-69.18	8.24	56610	37.61	85	10.34
1	5/17/15 21:12	5.01	77.1	26.58	-69.21	8.24	56610	37.61	84	10.36
1	5/17/15 21:13	5	77	26.58	-69.3	8.24	56620	37.61	83	10.32
1	5/17/15 21:14	5	76.9	26.58	-69.31	8.24	56470	37.5	82	10.34
1	5/17/15 21:15	4.99	76.8	26.58	-69.35	8.24	56580	37.58	81	10.34
1	5/17/15 21:16	4.99	76.8	26.58	-69.41	8.24	56580	37.58	81	10.32
1	5/17/15 21:17	4.99	76.8	26.58	-69.48	8.24	56510	37.53	80	10.32
1	5/17/15 21:18	4.99	76.8	26.58	-69.56	8.24	56580	37.58	79	10.32
1	5/17/15 21:19	5	76.9	26.58	-69.63	8.24	56640	37.63	79	10.34
1	5/17/15 21:20	4.99	76.9	26.58	-69.72	8.24	56600	37.6	78	10.32
1	5/17/15 21:21	5	76.9	26.58	-69.73	8.24	56520	37.54	78	10.32
1	5/17/15 21:22	5	76.9	26.58	-69.77	8.24	56770	37.72	78	10.32
1	5/17/15 21:23	5.01	77	26.58	-69.77	8.24	56520	37.54	78	10.34
1	5/17/15 21:24	5.01	77.1	26.57	-69.86	8.24	56530	37.55	77	10.32
1	5/17/15 21:25	5.02	77.3	26.57	-69.81	8.24	56610	37.61	77	10.32
1	5/17/15 21:26	5	76.9	26.57	-69.73	8.24	56540	37.55	77	10.32
1	5/17/15 21:27	5	77	26.57	-69.73	8.24	56600	37.59	77	10.32
1	5/17/15 21:28	5.01	77.1	26.57	-69.84	8.24	56550	37.56	76	10.29
1	5/17/15 21:29	5.02	77.2	26.57	-69.85	8.24	56490	37.51	76	10.31
1	5/17/15 21:30	5.01	77	26.56	-69.79	8.24	56520	37.54	76	10.32
1	5/17/15 21:31	5	76.9	26.56	-69.75	8.24	56490	37.52	76	10.29
1	5/17/15 21:32	4.98	76.7	26.56	-69.78	8.24	56600	37.6	76	10.32
1	5/17/15 21:33	5	76.8	26.56	-69.79	8.24	56480	37.5	76	10.29
1	5/17/15 21:34	5.02	77.2	26.56	-69.81	8.24	56540	37.56	76	10.27
1	5/17/15 21:35	5.02	77.3	26.56	-69.8	8.24	56550	37.56	75	10.27
1	5/17/15 21:36	5	77	26.56	-69.81	8.24	56590	37.59	75	10.27
1	5/17/15 21:37	5.01	77.1	26.56	-69.78	8.24	56510	37.53	75	10.27
1	5/17/15 21:38	5.01	77	26.56	-69.91	8.24	56470	37.5	75	10.27
1	5/17/15 21:39	5	77	26.56	-69.86	8.24	56570	37.58	75	10.27
1	5/17/15 21:40	4.99	76.8	26.56	-69.84	8.24	56540	37.55	75	10.25
1	5/17/15 21:41	5	76.8	26.56	-69.81	8.24	56440	37.47	75	10.27
