SENS_ID	SDN	TC	COND	O2satper	O2	pHinsitu	ORP	Vbatt	VpH	FLUOR
1	5/10/15 16:22	25.319	0	117.955	0	0	0	0	0	0
1	5/10/15 16:23	25.513	0	117.728	0	0	0	0	0	0
1	5/10/15 16:24	25.513	0	117.275	0	0	0	0	0	0
1	5/10/15 16:25	25.61	0	116.937	0	0	0	0	0	0
1	5/10/15 16:26	26.195	0	116.601	0	0	0	0	0	0
1	5/10/15 16:27	26.683	0	115.376	0	0	0	0	0	0
1	5/10/15 16:28	26.977	0	114.715	0	0	0	0	0	0
1	5/10/15 16:29	27.075	0	115.487	0	0	0	0	0	0
1	5/10/15 16:30	27.173	0	115.931	0	0	0	0	0	0
1	5/10/15 16:31	27.272	0	115.931	0	0	0	0	0	0
1	5/10/15 16:32	27.272	0	115.82	0	0	0	0	0	0
1	5/10/15 16:33	27.37	0	115.82	0	0	0	0	0	0
1	5/10/15 16:34	27.37	0	115.931	0	0	0	0	0	0
1	5/10/15 16:35	27.37	0	115.931	0	0	0	0	0	0
1	5/10/15 16:36	27.37	0	116.042	0	0	0	0	0	0
1	5/10/15 16:37	27.37	0	115.709	0	0	0	0	0	0
1	5/10/15 16:38	27.37	0	115.709	0	0	0	0	0	0
1	5/10/15 16:39	27.37	0	115.156	0	0	0	0	0	0
1	5/10/15 16:40	27.37	0	114.496	0	0	0	0	0	0
1	5/10/15 16:41	27.37	0	114.496	0	0	0	0	0	0
1	5/10/15 16:42	27.37	0	114.496	0	0	0	0	0	0
1	5/10/15 16:43	27.37	0	114.606	0	0	0	0	0	0
1	5/10/15 16:44	27.37	0	114.387	0	0	0	0	0	0
1	5/10/15 16:45	27.37	0	114.496	0	0	0	0	0	0
1	5/10/15 16:46	27.272	0	114.825	0	0	0	0	0	0
1	5/10/15 16:47	27.272	0	114.387	0	0	0	0	0	0
1	5/10/15 16:48	27.272	0	114.496	0	0	0	0	0	0
1	5/10/15 16:49	27.272	0	114.168	0	0	0	0	0	0
1	5/10/15 16:50	27.272	0	114.059	0	0	0	0	0	0
1	5/10/15 16:51	27.272	0	113.95	0	0	0	0	0	0
1	5/10/15 16:52	27.272	0	114.059	0	0	0	0	0	0
1	5/10/15 16:53	27.272	0	113.733	0	0	0	0	0	0
1	5/10/15 16:54	27.272	0	113.299	0	0	0	0	0	0
1	5/10/15 16:55	27.272	0	113.407	0	0	0	0	0	0
1	5/10/15 16:56	27.272	0	113.083	0	0	0	0	0	0
1	5/10/15 16:57	27.272	0	112.438	0	0	0	0	0	0
1	5/10/15 16:58	27.272	0	112.224	0	0	0	0	0	0
1	5/10/15 16:59	27.272	0	111.692	0	0	0	0	0	0
1	5/10/15 17:00	27.173	0	111.48	0	0	0	0	0	0
