SDN	PRES300	PRES500	RAIN	WSPD
2010-10-24 00:00	298.64	497.65	NaN	5.2
2010-10-24 00:10	298.92	497.68	NaN	6.3
2010-10-24 00:20	298.5	497.07	NaN	4.9
2010-10-24 00:30	298.9	497.99	NaN	6
2010-10-24 00:40	298.63	497.98	NaN	5.6
2010-10-24 00:50	298	497.29	NaN	5.4
2010-10-24 01:00	299.11	497.31	NaN	3.9
2010-10-24 01:10	298.38	496.87	NaN	3
2010-10-24 01:20	297.78	496.36	NaN	1.5
2010-10-24 01:30	298.53	497	NaN	2.3
2010-10-24 01:40	298.19	496.89	NaN	3.8
2010-10-24 01:50	298.73	497.02	NaN	2.8
2010-10-24 02:00	297.46	496.75	NaN	4.8
2010-10-24 02:10	298.46	497.19	NaN	5.1
2010-10-24 02:20	297.62	497.26	NaN	5.8
2010-10-24 02:30	298.96	498.13	NaN	5.6
2010-10-24 02:40	297.96	497.65	NaN	6.1
2010-10-24 02:50	298.38	497.81	NaN	5.8
2010-10-24 03:00	298.9	497.68	NaN	5.9
2010-10-24 03:10	298.72	498.55	NaN	5.4
2010-10-24 03:20	298.28	497.68	NaN	5.1
2010-10-24 03:30	298.61	498.1	NaN	4.8
2010-10-24 03:40	298.34	497.86	NaN	5.6
2010-10-24 03:50	298.68	497.92	NaN	6.7
2010-10-24 04:00	298.62	497.87	NaN	6.1
2010-10-24 04:10	298.82	498.22	NaN	4
2010-10-24 04:20	299.26	498.35	NaN	5.5
2010-10-24 04:30	299.18	499.16	NaN	7.5
2010-10-24 04:40	299.13	498.95	NaN	6.5
2010-10-24 04:50	298.8	499.19	NaN	5.9
2010-10-24 05:00	299.86	499.36	NaN	8.2
2010-10-24 05:10	299.28	499.63	NaN	6
2010-10-24 05:20	299.19	498.73	NaN	5.5
2010-10-24 05:30	298.88	498.61	NaN	4.3
2010-10-24 05:40	298.99	498.46	NaN	3.7
2010-10-24 05:50	298.86	498.79	NaN	3.9
2010-10-24 06:00	299.57	499.62	NaN	3.3
2010-10-24 06:10	299.19	498.7	NaN	3.1
2010-10-24 06:20	300.03	499.71	NaN	4.1
2010-10-24 06:30	298.02	498.66	NaN	5.6
2010-10-24 06:40	298.5	499.03	NaN	6.7
2010-10-24 06:50	299.5	499.32	NaN	6
2010-10-24 07:00	299.02	497.85	NaN	5.5
2010-10-24 07:10	299.08	497.79	NaN	4.4
2010-10-24 07:20	298.6	497.41	NaN	4.5
2010-10-24 07:30	298.69	497.28	NaN	5.1
2010-10-24 07:40	298.54	497.27	NaN	9.8
2010-10-24 07:50	298.82	497.34	NaN	7.8
2010-10-24 08:00	298.73	496.25	NaN	6.4
2010-10-24 08:10	298.71	497.48	NaN	6.4
2010-10-24 08:20	297.58	496.6	NaN	5.8
2010-10-24 08:30	297.41	496.32	NaN	6.3
2010-10-24 08:40	298.27	496.89	NaN	10.2
2010-10-24 08:50	298.49	496.16	NaN	9.3
2010-10-24 09:00	297.02	496.27	NaN	6.7
2010-10-24 09:10	296.98	495.24	NaN	7.2
2010-10-24 09:20	297.51	495.68	NaN	8.1
2010-10-24 09:30	296.36	495.17	NaN	9.6
2010-10-24 09:40	296.28	494.6	NaN	9.5
2010-10-24 09:50	297.3	494.69	NaN	8.2
2010-10-24 10:00	297.3	494.09	NaN	8.9
2010-10-24 10:10	296.69	493.87	NaN	8.3
2010-10-24 10:20	296.03	493.52	NaN	7.4
2010-10-24 10:30	296.7	494.81	NaN	9
