SENS_ID	SDN	O2	O2satper	TC	pHinsitu	VpH	COND	ORP	Vbatt
1	2015-11-10 20:04	6.65	101.6	26.88	10.05	-77.21	53460	89	10.48
1	2015-11-10 20:06	6.68	102	26.87	10.13	-76.92	53440	88	10.46
1	2015-11-10 20:08	6.69	102.2	26.87	10.23	-76.58	53410	88	10.46
1	2015-11-10 20:10	6.68	102.1	26.86	10.31	-76.29	53500	87	10.48
1	2015-11-10 20:12	6.69	102.1	26.86	10.39	-76.01	53460	87	10.46
1	2015-11-10 20:14	6.67	101.9	26.85	10.46	-75.77	53410	87	10.48
1	2015-11-10 20:16	6.67	101.9	26.84	10.54	-75.49	53470	86	10.48
1	2015-11-10 20:18	6.67	101.8	26.84	10.59	-75.31	53410	86	10.48
1	2015-11-10 20:20	6.67	101.8	26.83	10.65	-75.12	53350	86	10.44
1	2015-11-10 20:22	6.65	101.5	26.82	10.71	-74.9	53390	86	10.44
1	2015-11-10 20:24	6.64	101.4	26.81	10.75	-74.77	53510	86	10.44
1	2015-11-10 20:26	6.63	101.2	26.8	10.78	-74.64	53330	86	10.46
1	2015-11-10 20:28	6.62	100.9	26.79	10.82	-74.52	53330	86	10.42
1	2015-11-10 20:30	6.61	100.8	26.79	10.85	-74.41	53350	86	10.44
1	2015-11-10 20:32	6.6	100.7	26.78	10.9	-74.25	53450	86	10.44
1	2015-11-10 20:34	6.6	100.7	26.78	10.91	-74.2	53370	86	10.48
1	2015-11-10 20:36	6.59	100.5	26.77	10.94	-74.08	53380	86	10.46
1	2015-11-10 20:38	6.57	100.2	26.76	10.97	-73.98	53280	86	10.48
1	2015-11-10 20:40	6.58	100.3	26.75	10.99	-73.91	53320	86	10.44
1	2015-11-10 20:42	6.57	100.2	26.74	11.01	-73.84	53410	86	10.44
1	2015-11-10 20:44	6.56	100.1	26.74	11.04	-73.76	53380	86	10.42
1	2015-11-10 20:46	6.55	99.9	26.73	11.06	-73.67	53430	86	10.42
1	2015-11-10 20:48	6.54	99.6	26.72	11.07	-73.64	53430	86	10.42
1	2015-11-10 20:50	6.53	99.5	26.71	11.09	-73.56	53430	86	10.41
1	2015-11-10 20:52	6.52	99.4	26.7	11.11	-73.52	53430	86	10.44
1	2015-11-10 20:54	6.51	99.2	26.7	11.13	-73.44	53360	86	10.44
1	2015-11-10 20:56	6.49	98.9	26.69	11.14	-73.39	53450	86	10.44
1	2015-11-10 20:58	6.5	99	26.68	11.16	-73.33	53330	86	10.46
1	2015-11-10 21:00	6.5	99	26.68	11.18	-73.25	53390	86	10.41
1	2015-11-10 21:02	6.48	98.7	26.67	11.2	-73.21	53390	86	10.42
1	2015-11-10 21:04	6.48	98.6	26.66	11.21	-73.14	53390	86	10.41
1	2015-11-10 21:06	6.48	98.6	26.66	11.23	-73.08	53300	86	10.44
1	2015-11-10 21:08	6.46	98.3	26.65	11.25	-73	53470	86	10.36
1	2015-11-10 21:10	6.46	98.3	26.64	11.26	-72.99	53400	86	10.46
1	2015-11-10 21:12	6.45	98.2	26.63	11.27	-72.94	53440	86	10.44
