Row	intdayDOXY1	intdaypH1	intdayORP1	intdayTC1	maxdayDOXY1	maxdaypH1	maxdayORP1	maxdayTC1	mindayDOXY1	mindaypH1	mindayORP1	mindayTC1	meandayDOXY1	meandaypH1	meandayORP1	meandayTC1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_pH1	ratioDOXY_ORP1	ratioDOXY_TC1	DOXYmax1	pHmax1	ORPmax1	TCmax1	DOXYmin1	pHmin1	ORPmin1	TCmin1	DOXYmean1	pHmean1	ORPmean1	TCmean1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_pH1	rsqDOXY_pH1	slopesDOXY_ORP1	rsqDOXY_ORP1	slopesDOXY_TC1	rsqDOXY_TC1
Sensor1	301210.2023	876	420600	669721.1837	174.1410641	8.11251937	219.7356489	24.67548292	155.8575797	8.07251937	185.7356489	24.37548292	4.412655943	0.010189321	7.093153634	0.078367542	265421.9301	1401	557850	1052080.217	0.005278388	2.10174796	3.963802904	172.7022733	8.08251937	223.7356489	24.68548292	150.9521326	8.04251937	201.7356489	24.37548292	156.0243241	8.075227703	214.7356489	24.52458014	3.596646111	0.005938938	5.447781354	0.081187973	-130.7900046	0.04664136	0.212627255	0.103724604	28.2381879	0.406313854
Sensor2	353725.8624	1131	441450	669953.2463	174.9504732	8.125657246	223.3505459	24.67711525	155.3937288	8.065657246	184.3505459	24.35711525	4.72784983	0.012422719	6.220381324	0.07591542	238269.8007	1576.5	350400	1051577.244	0.006616449	1.470601809	4.413388693	172.9263917	8.085657246	225.3505459	24.67711525	149.9915448	8.035657246	209.3505459	24.37711525	155.476274	8.072462802	217.5172125	24.51287914	4.039840571	0.007632538	4.498640043	0.08038004	-220.0121022	0.172783639	0.283658204	0.099775689	23.70276174	0.222415929
Sensor3	344717.63	3159	102600	669969.3303	174.7792097	8.220617626	217.0288343	24.68133078	155.351806	8.070617626	211.0288343	24.38133078	4.750694094	0.026033121	0.897187302	0.077121763	247575.8815	2011.5	142950	1051720.59	0.008124782	0.577398732	4.248073698	168.3934515	8.110617626	219.0288343	24.68133078	150.1267479	8.050617626	213.0288343	24.36133078	155.4338553	8.087492626	216.3656399	24.51619189	3.500698897	0.013611428	1.348179115	0.082011308	-147.1807751	0.327491515	1.428818984	0.302789003	27.01262265	0.400471366
Sensor4	236763.0936	1075.5	46049.99999	669753.3018	172.4973443	8.127321271	217.4804983	24.66121985	155.3541813	8.077321271	213.4804983	24.36121985	3.871169182	0.010033389	0.910731266	0.075803941	224844.9932	1426.5	133200	1052249.831	0.006344371	0.592408121	4.679889982	171.7053618	8.087321271	221.4804983	24.70121985	152.0288337	8.047321271	214.4804983	24.37121985	157.2331922	8.08058516	217.584665	24.52851151	3.756975658	0.007078961	1.764921401	0.083458618	-263.0848374	0.245727611	-0.137463361	0.004170114	29.69904712	0.435261892
Sensor5	248093.7527	543	181800	669870.5704	171.9809446	8.114532048	220.5359658	24.66809782	155.7261974	8.074532048	202.5359658	24.35809782	3.547846747	0.006711408	2.498040321	0.076445459	262746.6447	1326	250050	1052013.896	0.005046687	0.951677234	4.003909917	174.0691256	8.084532048	221.5359658	24.69809782	151.9435748	8.044532048	210.5359658	24.37809782	157.1809448	8.07550427	216.3692992	24.52302837	3.775169194	0.00571092	3.072549339	0.084041253	-182.5280227	0.076242726	0.565205129	0.211610434	26.36583286	0.344504727
Sensor6	238809.3947	2098.5	772500	669672.1235	171.5905608	8.155720637	226.564492	24.6630265	155.0964267	8.075720637	170.564492	24.3430265	3.426856203	0.013770264	8.39222304	0.07342843	229554.3067	1887	688500	1052142.837	0.008220277	2.999290277	4.583415803	170.911961	8.115720637	227.564492	24.7030265	151.5846513	8.045720637	202.564492	24.3730265	156.5754543	8.089748415	218.6061587	24.52608206	3.255292343	0.012078962	6.597175704	0.086260929	-135.8735134	0.25418437	0.129579757	0.068962092	27.34666408	0.525118096
																																													
	intdayDOXY2	intdaypH2	intdayORP2	intdayTC2	maxdayDOXY2	maxdaypH2	maxdayORP2	maxdayTC2	mindayDOXY2	mindaypH2	mindayORP2	mindayTC2	meandayDOXY2	meandaypH2	meandayORP2	meandayTC2	intDOXY2	intpH2	intORP2	intTC2	ratioDOXY_pH2	ratioDOXY_ORP2	ratioDOXY_TC2	DOXYmax2	pHmax2	ORPmax2	TCmax2	DOXYmin2	pHmin2	ORPmin2	TCmin2	DOXYmean2	pHmean2	ORPmean2	TCmean2	DOXYstd2	pHstd2	ORPstd2	TCstd2	slopesDOXY_pH2	rsqDOXY_pH2	slopesDOXY_ORP2	rsqDOXY_ORP2	slopesDOXY_TC2	rsqDOXY_TC2
	566522.6227	780	1525350	1075849.507	172.8266512	8.10251937	232.7356489	24.81548292	154.1007347	8.07251937	217.7356489	24.59548292	4.409468538	0.009504493	1.925256641	0.053417766	184485.7627	1354.5	1114350	1048426.072	0.00734203	6.040303509	5.682964674	159.7926239	8.08251937	232.7356489	24.76548292	149.8167029	8.07251937	222.7356489	24.37548292	154.1702021	8.074337551	227.896488	24.61114726	2.255803825	0.003870503	3.579382175	0.079475033	328.040343	0.316801103	-0.323448366	0.263404633	23.60903578	0.691855311
	654044.1207	1218	1612800	1075971.513	179.058488	8.105657246	229.3505459	24.83711525	152.4879673	8.065657246	217.3505459	24.56711525	5.265390223	0.012511686	2.543750388	0.059449698	144610.8555	1381.5	802200	1048222.61	0.009553225	5.547301391	7.248574845	162.7394189	8.075657246	231.3505459	24.76711525	149.883242	8.065657246	220.3505459	24.37711525	153.2971169	8.068104798	228.1757207	24.60634602	2.259442752	0.004314532	2.230753947	0.079903788	409.7407454	0.612185502	-0.544162314	0.288640707	22.84610908	0.652764531
	615067.412	1887	316800	1075962.889	174.0444803	8.090617626	225.0288343	24.82133078	153.9702803	8.050617626	217.0288343	24.58133078	5.014720659	0.008299143	1.140900207	0.056407528	177937.914	532.5	353700	1048181.691	0.002992617	1.987771983	5.890715857	159.4762882	8.060617626	225.0288343	24.76133078	149.6458559	8.040617626	218.0288343	24.37133078	153.8436094	8.053135109	221.3365266	24.60538672	2.114797885	0.004816131	2.103755091	0.079116938	335.4143358	0.583474703	-0.373322382	0.137917914	22.97395561	0.738707923
	464841.2083	768	243900	1075710.563	171.4612761	8.097321271	223.4804983	24.82121985	155.5350584	8.067321271	216.4804983	24.58121985	3.356496036	0.004885559	1.37093109	0.053505592	172048.463	1207.5	305700	1048544.465	0.007018371	1.77682494	6.094471563	161.3214253	8.077321271	224.4804983	24.77121985	151.9805848	8.067321271	218.4804983	24.36121985	156.0319507	8.07564295	221.6553235	24.61394712	2.242881684	0.003750308	1.580313239	0.079214291	251.4174069	0.176730611	-0.415152283	0.08556349	24.21756757	0.73156917
	502521.3539	672	803850	1075865.755	175.3952977	8.104532048	225.5359658	24.81809782	154.8283263	8.074532048	218.5359658	24.57809782	3.535241099	0.006763429	1.193352712	0.053765002	180464.3715	1426.5	572700	1048370.967	0.007904607	3.173479593	5.809296087	160.6556334	8.084532048	226.5359658	24.76809782	151.0410809	8.074532048	221.5359658	24.36809782	155.2933382	8.078028551	223.9765253	24.60984607	2.206141835	0.004785356	1.655644964	0.078957242	379.6693344	0.678223373	-0.598302788	0.201608862	24.15009642	0.747058851
	488322.0029	1074	2106600	1075766.653	173.2020574	8.095720637	234.564492	24.8330265	155.6383488	8.055720637	203.564492	24.5630265	3.410425809	0.00771266	7.655736254	0.0578569	205196.4264	742.5	1255650	1048550.929	0.003618484	6.119258615	5.109986306	161.335584	8.085720637	235.564492	24.7730265	151.2027892	8.055720637	227.564492	24.3630265	156.0365971	8.063203155	232.0330235	24.61414538	2.35220894	0.007360776	2.580545296	0.079124656	117.2983521	0.134734647	-0.51996924	0.325406696	26.04145518	0.767365676
																																													
	intdayDOXY3	intdaypH3	intdayORP3	intdayTC3	maxdayDOXY3	maxdaypH3	maxdayORP3	maxdayTC3	mindayDOXY3	mindaypH3	mindayORP3	mindayTC3	meandayDOXY3	meandaypH3	meandayORP3	meandayTC3																													
	263393.1111	454.5	1426050	794967.6466	169.9129378	8.11251937	234.7356489	24.68548292	154.0051081	8.07251937	225.7356489	24.30548292	4.21079322	0.008726213	2.353018752	0.098270553																													
	343012.302	852	1329750	795325.0341	172.0949993	8.115657246	230.3505459	24.68711525	152.4879673	8.065657246	214.3505459	24.31711525	5.069475388	0.014706322	3.726369652	0.093694329																													
	297016.4182	738	547050	795203.6173	170.6250033	8.090617626	234.0288343	24.68133078	153.131363	8.040617626	225.0288343	24.31133078	4.623892058	0.0099881	1.825462672	0.09612073																													
	178005.2858	510	358800	794783.023	166.8464395	8.097321271	225.4804983	24.68121985	155.2030401	8.077321271	219.4804983	24.27121985	3.082320024	0.005820395	0.970250659	0.102425478																													
	196819.8749	513	748050	794927.8693	167.6052315	8.114532048	227.5359658	24.67809782	154.8283263	8.074532048	220.5359658	24.27809782	3.258306352	0.00818886	1.355887227	0.098216079																													
	205967.8281	519	1718550	794913.5586	168.7937004	8.095720637	235.564492	24.6830265	154.9218566	8.055720637	212.564492	24.2730265	3.090675394	0.00851135	6.740846224	0.104407215																													
