Row	intPAR1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_PAR1	ratiopH_PAR1	ratioORP_PAR1	ratioTC_PAR1	PARmax1	DOXYmax1	pHmax1	ORPmax1	TCmax1	PARmin1	DOXYmin1	pHmin1	ORPmin1	TCmin1	PARmean1	DOXYmean1	pHmean1	ORPmean1	TCmean1	PARstd1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_PAR1	rsqDOXY_PAR1	slopespH_PAR1	rsqpH_PAR1	slopesORP_PAR1	rsqORP_PAR1	slopesTC_PAR1	rsqTC_PAR1
																																					
	intPAR3	intDOXY3	intpH3	intORP3	intTC3	ratioDOXY_PAR3	ratiopH_PAR3	ratioORP_PAR3	ratioTC_PAR3	PARmax3	DOXYmax3	pHmax3	ORPmax3	TCmax3	PARmin3	DOXYmin3	pHmin3	ORPmin3	TCmin3	PARmean3	DOXYmean3	pHmean3	ORPmean3	TCmean3	PARstd3	DOXYstd3	pHstd3	ORPstd3	TCstd3	slopesDOXY_PAR3	rsqDOXY_PAR3	slopespH_PAR3	rsqpH_PAR3	slopesORP_PAR3	rsqORP_PAR3	slopesTC_PAR3	rsqTC_PAR3
Sensor1	17409046.38	597664.8325	1035	2159700.001	1229939.559	0.034330705	5.95E-05	0.124056192	0.07064945	1028.6	199.3710072	8.052004154	210.1557632	28.17550363	1.249299973	182.5710736	8.012004154	189.1557632	27.98550363	394.7730429	192.2744153	8.035473541	196.4890966	28.08043561	316.9038305	5.044057554	0.011625024	3.850517368	0.035505095	0.014799566	0.864555486	3.27E-05	0.796806743	-0.000910976	0.00562122	5.30E-05	0.22354275
Sensor2	NaN	551732.5038	1429.499999	2027400	1229875.655	0.031692288	8.21E-05	0.116456695	0.07064578	NaN	195.7714004	8.042705088	197.3637072	28.18109943	NaN	182.3211723	8.002705088	185.3637072	27.98109943	NaN	190.4727481	8.025222095	188.6902378	28.07899059	NaN	3.822450786	0.008345579	2.551291011	0.036737337	0.010981699	0.828915476	2.14E-05	0.658956012	-0.007297201	0.821575731	5.25E-05	0.204991874
Sensor3	NaN	607172.7495	1254	1530450	1230021.884	0.034876853	7.20E-05	0.087911191	0.070654179	NaN	197.7312852	8.038627985	199.2095016	28.1753284	NaN	180.8976559	8.008627985	188.2095016	27.9853284	NaN	190.7085239	8.027131387	191.175488	28.0823352	NaN	5.10907689	0.010685654	1.840990522	0.034865985	0.01489325	0.853393019	2.95E-05	0.767219582	-0.003578906	0.379535545	5.55E-05	0.254663658
Sensor4	NaN	607172.7495	1254	1530450	1230021.884	0.034876853	7.20E-05	0.087911191	0.070654179	NaN	197.7312852	8.038627985	199.2095016	28.1753284	NaN	180.8976559	8.008627985	188.2095016	27.9853284	NaN	190.7085239	8.027131387	191.175488	28.0823352	NaN	5.10907689	0.010685654	1.840990522	0.034865985	0.01489325	0.853393019	2.95E-05	0.767219582	-0.003578906	0.379535545	5.55E-05	0.254663658
Sensor5	NaN	559816.5785	4828.499999	2383950	1229867.23	0.032156648	0.000277356	0.136937426	0.070645296	NaN	196.0270653	8.075672378	205.6989875	28.18217419	NaN	184.2671289	7.885672378	174.6989875	27.99217419	NaN	190.8392985	7.99587646	187.2227971	28.07884086	NaN	3.603732592	0.051875369	6.190285511	0.033988986	0.010447156	0.844006872	-5.15E-05	0.099150157	-0.015044222	0.593161643	5.06E-05	0.222376482
Sensor6	NaN	610188.0723	481.5000001	3727950	1230247.739	0.035050057	2.77E-05	0.214138668	0.070667153	NaN	197.7120239	8.042553219	209.7433801	28.17918354	NaN	180.8519484	8.012553219	177.7433801	27.97918354	NaN	190.5962538	8.0235056	189.9542644	28.08741483	NaN	5.230305026	0.007615173	6.237569875	0.038315573	0.015068399	0.833556718	1.68E-05	0.486409524	-0.015312308	0.605209091	7.03E-05	0.337626776
																																					
	intPAR4	intDOXY4	intpH4	intORP4	intTC4	ratioDOXY_PAR4	ratiopH_PAR4	ratioORP_PAR4	ratioTC_PAR4	PARmax4	DOXYmax4	pHmax4	ORPmax4	TCmax4	PARmin4	DOXYmin4	pHmin4	ORPmin4	TCmin4	PARmean4	DOXYmean4	pHmean4	ORPmean4	TCmean4	PARstd4	DOXYstd4	pHstd4	ORPstd4	TCstd4	slopesDOXY_PAR4	rsqDOXY_PAR4	slopespH_PAR4	rsqpH_PAR4	slopesORP_PAR4	rsqORP_PAR4	slopesTC_PAR4	rsqTC_PAR4
Sensor1	4364292.765	139679.9495	155.9999997	901350.0005	394801.1012	0.032005174	3.57E-05	0.206528308	0.090461645	750.31	195.3825867	8.032004154	213.1557632	28.02550363	1.716099962	181.3074839	8.012004154	210.1557632	27.98550363	310.9094917	188.6297628	8.02304582	211.0724299	28.00008697	226.9287432	4.564158865	0.008565041	0.820828154	0.0116616	0.018209559	0.819702725	3.19E-05	0.715368088	-0.001120855	0.096022616	4.68E-05	0.828483047
Sensor2	NaN	148960.8399	198.0000001	729900	394784.0019	0.034131725	4.54E-05	0.167243592	0.090457727	NaN	194.3473725	8.022705088	197.3637072	28.02109943	NaN	181.5778513	7.992705088	191.3637072	27.98109943	NaN	188.5275167	8.006871755	194.1345405	27.99880776	NaN	3.643809318	0.006130958	1.948699328	0.009728131	0.014372736	0.801210472	2.34E-05	0.747767584	-0.008023748	0.873059663	3.92E-05	0.834548787
Sensor3	NaN	146862.8965	118.5000002	578850	394807.6305	0.033651018	2.72E-05	0.132633174	0.090463141	NaN	194.2645065	8.018627985	199.2095016	28.0253284	NaN	180.1749291	7.998627985	196.2095016	27.9853284	NaN	187.3556831	8.007169652	197.2720016	28.00053673	NaN	4.420604845	0.008502711	0.931853562	0.011296692	0.017970294	0.850993049	2.98E-05	0.634020847	-0.003324335	0.655379942	4.49E-05	0.814378017
Sensor4	NaN	146862.8965	118.5000002	578850	394807.6305	0.033651018	2.72E-05	0.132633174	0.090463141	NaN	194.2645065	8.018627985	199.2095016	28.0253284	NaN	180.1749291	7.998627985	196.2095016	27.9853284	NaN	187.3556831	8.007169652	197.2720016	28.00053673	NaN	4.420604845	0.008502711	0.931853562	0.011296692	0.017970294	0.850993049	2.98E-05	0.634020847	-0.003324335	0.655379942	4.49E-05	0.814378017
Sensor5	NaN	136646.8063	586.4999997	949950	394760.1562	0.031310183	0.000134386	0.217664133	0.090452263	NaN	192.8867319	7.935672378	205.6989875	28.0121742	NaN	182.095783	7.915672378	197.6989875	27.9821742	NaN	187.8191531	7.927339045	200.1260709	27.99727836	NaN	3.068347693	0.006631111	2.47323886	0.007955299	0.012208348	0.815236584	2.09E-05	0.513242929	-0.007719103	0.501626657	2.97E-05	0.718436881
Sensor6	NaN	160698.3664	196.4999996	1412400	394795.9879	0.03682117	4.50E-05	0.323626318	0.090460473	NaN	193.8389674	8.042553219	209.7433801	28.01918354	NaN	181.7329173	8.012553219	201.7433801	27.97918354	NaN	188.1555179	8.026511552	204.9308801	27.99960021	NaN	3.633622236	0.008183944	2.614657945	0.01071057	0.014327572	0.800653598	1.23E-05	0.115891112	-0.010582227	0.843535628	4.28E-05	0.82170548
