Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
0.0797915134090204	0.0959727383707332	0.0384310360236668	0.189640702042652	-0.0110843394320455	0.0416866511433511
0.0766953491095137	0.050358958262791	0.040591211277615	0.0646799526024324	0.0678213395679848	0.163408835720645
0.00767925967289784	0.0796225638350734	0.0548142309921786	0.10103218418584	0.0490157306256265	0.0527500550284685
0.0636640143318346	0.0332606812106064	0.0167665267023835	0.0388332753859686	0.00747347770720808	0.116231517263543
0.0272158175377513	0.0295816446136428	0.044213705329696	NaN	0.00052633791392509	NaN
0.0948601134876412	NaN	NaN	NaN	0.0601757520294655	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39028.6458333333	39028.65625	39028.6701388889	39028.6493055555	39028.6631944444	39028.7361111111
39029.0104166666	39029.0243055555	39029.0173611111	39028.9583333333	39029.0173611111	39029.0416666666
39029.3194444444	39029.6354166666	39029.3888888889	39029.6701388889	39029.3611111111	39029.6388888889
39029.6597222222	39029.9618055555	39029.9166666666	39030.0104166666	39029.6631944445	39030.1631944445
39029.9131944445	39030.1909722222	39030.3159722222	NaN	39029.9131944445	NaN
39030.2430555555	NaN	NaN	NaN	39030.2708333334	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
